item_type,title,creators,first_name,last_name,ean_isbn13,upc_isbn10,description,publisher,publish_date,group,tags,notes,price,length,number_of_discs,number_of_players,age_group,ensemble,aspect_ratio,esrb,rating,review,review_date,status,began,completed,added,copies
music,"Top 10 of Classical Music: Romantic",Various,Various,Various,18111563826,018111563826,"1 2001-A Space Odyssey: Zarathustra - Hungarian State Orch/Janos Sandor
2 Pno Con No.1 (Exc From 1st Movt) - Jeno Jando
3 Thais: Meditation - Budapest Phil/Andras Korodi
4 Wedding March - Budapest Phil/Janos Kovacs
5 Tales From The Vienna Woods: Waltz - Vienna Strauss Orch/Joseph Francek
6 Ave Maria - Budapest Strs
7 The Tales Of Hoffman: Barcarolle - Budapest Phil/Janos Sandor
8 Peer Gynt: Solveig's Song - Vienna Sym/Yuri Ahronovitch
9 Humoresque - Budapest Strs
10 '1812' Ov - Hungarian State Orch/Adam Fischer",Delta,,Orchestra,orchestra,,5.00,,,,,,,,,,," Not begun"," "," ",2022-08-08,1
music,"The Private Collection","Vladimir Horowitz",Vladimir,Horowitz,90266264322,090266264322,"1 Toccata
2 Fugue
3 I. Allegro
4 II. Presto
5 Allegro con brio (I)
6 Un poco andante, quasi allegretto (II)
7 No. 3 in B-Flat Major
8 Fantaisie in F Minor, Op. 49
9 Polonaise in C-Sharp Minor, Op. 26, No. 1
10 Mazurka in B Minor, Op. 30, No. 2
11 Consolation No. 4 in D-Flat Major, S. 172/4
12 Consolation No. 5 in E Major, S. 172/5
13 Etude-tableau, Op. 39, No. 7, in C Minor",RCA,1994-10-11,Piano,"classical, piano",,5.00,,1,,,,,,,,," Not begun"," "," ",2022-08-08,1
music,"Debussy: Preludes, Book II / Images, Book II","Claudio Arrau",Claudio,Arrau,28942039421,028942039421,"1-12 Recorded - Switzerland 9/1979.
13-15 Recorded - Switzerland 3/1979.
Ⓟ 1980 (Préludes); 1981 (Images)
This Compilation Ⓟ 1987 Philips Classics Productions.",Philips,1990-10-25,Piano,"arrau, debussy",,5.00,,1,,,,,,,,," Not begun"," "," ",2022-08-08,1
music,Flipside,"Jeff Lorber",Jeff,Lorber,724347312427,724347312427,"Along with longtime co-writer/producer Steve Dubin &amp; a young keyboardist from Los Angeles, Nelson Jackson, Lorber has crafted a disc that takes his music in new directions. FLIPSIDE is a melding of old style swing rhythms &amp; contemporary hip-hop production, injected with a healthy dose of bebop-era improvisation. In fact, much of FLIPSIDE began as improvisations. Many of the tracks were developed spontaneously in the studio, then later supplemented with overdubbed instrumentation, retaining the initial ideas &amp; melodies that first inspired the songs.",Narada,2005-02-15,Jazz,jazz,,10.00,,1,,,,,,,,," Not begun"," "," ",2022-08-08,1
music,"Poulenc: Complete Works For Two Pianos","Franics Poulenc",Franics,Poulenc,7318590005934,,"Orchestra
Malmö Symphony Orchestra
Conductor
Osmo Vänskä
Recorded 1993",BIS,1993-05-01,Orchestra,poulenc,,5.00,,1,,,,,,,,," Not begun"," "," ",2022-08-08,1
music,"Earth Wind &amp; Fire: Greatest Hits","Earth Wind &amp; Fire",Earth,Fire,74646577929,074646577929,"For the first time ever-all of their biggest hits on a single CD! Seven of these are #1 R&amp;B hits: Let's Groove; Serpentine Fire; Sing a Song; Getaway; Shining Star; September , and Got to Get You into My Life . Their best ballads, grooves, pop and R&amp;B hits-17 EWF essentials in all, newly remastered to sound better than ever!",Sony,1998-11-17,Pop,r&amp;b,,10.00,,1,,,,,,,,," Not begun"," "," ",2022-08-08,1
music,"Tamia: Between Friends",Tamia,Tamia,Tamia,14381378429,014381378429,"Tamia is one of the world’s most loved R&amp;B singers with a career highlighted by two certified gold albums, has arrived with her a new studio album and fourth release featuring a mixture of club tracks, duets and mainstream R&amp;B songs produced by proven hitmakers Rodney Jerkins and Shep Crawford. Four time Grammy Nominee and Winner of the Best Vocal Performance Award, Tamia’s long awaited follow-up to her hit record More finds the sultry, sophisticated singer at both a creative and personal apex. The 15-song disc, Between Friends, sizzles with her trademark sensuality, but it is also buoyed by a sparkling personality that her fans don't always get to see. Like her past efforts, the disc is anchored by stunning vocal displays that rival this generation's greatest voices. The album features the hit track ""Can’t Get Enough"" which is one of the most highly anticipated songs from one of radio’s favorite artists.","Image Entertainment",2006-11-14,Pop,r&amp;b,,10.00,,1,,,,,,,,," Not begun"," "," ",2022-08-08,1
music,"Opera for People Who Hate Opera",Opera,Opera,Opera,15095087522,015095087522,"By Intersound Records/Pro Arte. Also in cassette.","Intersound Records",1995-04-16,Orchestra,"opera, orchestra",,5.00,,1,,,,,,,,," Not begun"," "," ",2022-08-08,1
music,"Legendary Performer","Glenn Miller",Glenn,Miller,78635069327,078635069327,"This release doesn't contain the studio recordings of Miller's most popular songs, but his most legendary radio broadcasts with Moonlight Serenade; In the Mood; Pennsylvania 6-5000; Chattanooga Choo Choo and much more.",RCA,1991-09-24,Pop,orchestra,,5.00,,1,,,,,,,,," Not begun"," "," ",2022-08-08,1
music,"Off the Wall","Michael Jackson",Michael,Jackson,7464660702,074646607022,"Off the Wall is the fifth solo studio album by Michael Jackson. It was released on August 10, 1979, following Jackson's critically well-received film performance in The Wiz. While working on that project, Jackson and Quincy Jones had become friends, and Jones agreed to work with Jackson on his next studio album. Recording sessions took place between December 1978 and June 1979 at Allen Zentz Recording, Westlake Recording Studios, and Cherokee Studios in Los Angeles, California. Jackson collaborated with a number of other writers and performers such as Paul McCartney, Stevie Wonder and Rod Temperton. Five singles were released from the album. It was his first solo release under Epic Records, the label he would record on until his death roughly 30 years later.",Sony,2001-10-16,Pop,r&amp;b,,10.00,,1,,,,,,,,," Not begun"," "," ",2022-08-08,1
music,"Gershwin: Piano Concerto in F / Rhapsody in Blue / Cuban Overture","Jon Nakamatsu",Jon,Nakamatsu,93046744168,093046744168,"Jon Nakamatsu won the Van Cliburn International Piano Competition in 1997 and has made several fine recordings since then. This all-Gershwin program is probably his finest. He plays the Piano Concerto with great rhythmic sass, the Charleston always underpinning the melodies. Rather than opt for a showy reading of this or the Rhapsody in Blue, he and conductor Jeff Tyzik emphasize the music’s sultry quality; the smoke-filled nightclub is there right alongside the concert hall at all times. The clarinet solo that opens the Rhapsody is stunningly evocative. Nakamatsu and the horn player duet with a keen jazz ear, and the solo piano work is songful and elegant. If you’re looking for fireworks, there are plenty in the Concerto’s finale – it’s a thrilling reading. The Cuban Overture, a work so familiar that it’s hard to look forward to, is given a terrific reading here by Tyzik and The Rochester Philharmonic, with the Latin percussion sounding wonderfully at home with the ""regular"" orchestra. This is a splendid release. --Robert Levine","HARMONIA MUNDI",2007-05-08,Jazz,"orchestra, piano",,10.00,,1,,,,,,,,," Not begun"," "," ",2022-08-08,1
music,"Tchaikovsky: Ballet Suites Transcriptions for Piano 4 Hands","Pyotr Il'yich Tchaikovsky, Aurora Duo",Pyotr,Tchaikovsky,0747313041879,747313041879,"It is astonishing to recall that five years after the premiere of Swan Lake, one of the greatest of all Russian ballets, and of Tchaikovsky' three full-length ballets the one with the greatest number of memorable tunes, the composer wrote to his editor: """,Naxos,2007-12-12,Orchestra,"ballet, orchestra",,10.00,,1,,,,,,,,," Not begun"," "," ",2022-08-08,1
music,"Mozart Musical Masterpieces","Wolfgang Amadeus Mozart",Wolfgang,Mozart,,,"AUDIO CD PACKAGED WITH HARDBOUND 24 PAGE ILLUSTRATED BOOKLET! Wolfgang Amadeus Mozart: Mozart Musical Masterpieces. International Masters Classic Composers No. 3. 2005 International Masters Publishers Issue! TRACKS: 1. The Marriage of Figaro, K. 492 Overture (Berlin Radio Symphony Orchestra Conducted by Roberto Paternostro) [04:16]; 2. Clarinet Concerto in A Major, K. 622 1st Movement (M. Taillard, Clarinet with Concerto Köln) [12:50]; 3. Piano Concerto No. 21 in C Major, K. 467 2nd Movement (Piano - Vilmos Fischer, Piano with the Vienna Mozart Ensemble Conducted by Herbert Kraus) [05:38]; 4. Horn Concerto No. 4, K. 495 3rd Movement (Bernd Heisser, Horns with the Vienna Mozart Ensemble Conducted by Herbert Kraus) [03:58]; 5. Exsultate Jubilate, K. 165 (Gabriel Fuchs, Soprano with the Berlin Radio Symphony Orchestra Conducted by Martin Creed) [05:04]; 6. Serenade ""Eine Kleine Nachtmusik"", K. 525 1st Movement (Camerata Academica Des Mozarteums Salzburg Conducted by Sandor Vegh) [05:39]; 7. Serenade ''Gran Partita'', K. 361 3rd Movement (Linos Ensemble) [04:59]; 8. Sinfonia Concertante, K. 364 1st Movement (Christian Altenburger, Violin; Wolfram Christ, Viola; with the German Bach Soloists Conducted by Helmut Winschermann) [13:16]; 9. Symphony No. 40 G Minor, K. 550 1st Movement (Mozarteum Orchester Salzburg Conducted by Hans Graf) [07:38]; 10. Requiem in D Minor, K. 626 Requiem Aeternam (Edith Wiens, Soprano; RIAS Chamber Chorus with the Berlin Radio Symphony Conducted by Uwe Gronostay) [06:56]; &amp; 11. Hostias (RIAS Chamber Chorus with the Berlin Radio Symphony Conducted by Uwe Gronostay) [03:31]. BOOK CONTENTS: Biography, Turning Point, Life and Times, In Context, Listener's Guide, Influences, Test Your Knowledge, and Further Interest.","International Masters Publishers",,Orchestra,"classical, piano",,5.00,,1,,,,,,,,," Not begun"," "," ",2023-04-23,1
music,"本命ベスト 演歌 R40",Various,Various,Various,,TKCA-73944-S,"1. And Megurioi / Hiroshi Itoki.
2. Flowy Love / Konishi Kaori
3. Flame/Crown
4. Yama (Yaeyama) / Sensho
5. Drunken / Kichikuso
6. Tendo Yoshimi no Monogatari Kizujima / Yoshimi
7. Ukiyoko / Wakuriko Mori.
8. North Snowworm / Kim Yongja
9. Yamagawa / Mizoki Hiroshi
10. Otaru Canal / Harumi
11. Shinobura/Natsuko Gaiyo.
12. Ayoku Hakukan / Hiroshima
13. Pure Osaka / Kim Ranchi
14. Tear Love Song / Milei Hohara
15. Female Harbor / Otsuki Miyako.
16. During the journey / Kichikuso
17. Love / Mika Hino","株式会社 徳間ジャパンコミュニケーションズ",2013-01-01,Japanese,enka,,10.00,78,1,,,,,,,,," Not begun"," "," ",2023-04-23,1
music,"Poulenc Chansons Francaises","The Sixteen, Harry Christophers, Nicola Jenkin",The,Sixteen,,D103049,"Composed By – Francis Poulenc
 Conductor – Harry Christophers
 Solo Vocal – Nicola Jenkin (tracks: 8)","BMG Direct Marketing, Inc",1993-01-01,Orchestra,poulenc,,5.00,70,,,,,,,,,," Not begun"," "," ",2023-11-23,1
music,"Homeworld Soundtrack","Paul Ruskay",Paul,Ruskay,,,"Released with the Game Of The Year Edition of Homeworld","Sierra Studios",2000-01-01,Soundtrack,soundtrack,,3.00,44,,,,,,,,,," Not begun"," "," ",2023-11-24,1
